user_id,age_group,gender,region,primary_platform,daily_usage_mins,posts_per_week,accounts_followed,engagement_rate_pct,years_active,daily_category
U0001,25-34,Female,Urban,YouTube,33.4,4,94.0,11.1,2,Moderate (30-60m)
U0002,55+,Female,Suburban,YouTube,34.9,5,276.0,17.2,3,Moderate (30-60m)
U0003,35-44,Male,Rural,Instagram,114.3,5,55.0,20.599999999999998,10,High (1-2h)
U0004,25-34,Female,Suburban,YouTube,35.6,3,209.0,19.8,9,Moderate (30-60m)
U0005,18-24,Female,Rural,YouTube,64.1,2,2637.0,4.1000000000000005,13,High (1-2h)
U0006,18-24,Male,Suburban,YouTube,37.3,2,79.0,7.1,9,Moderate (30-60m)
U0007,13-17,Female,Suburban,WhatsApp,6.0,4,144.0,27.900000000000002,5,Low (<30m)
U0008,45-54,Female,Rural,YouTube,112.4,1,37.0,9.4,14,High (1-2h)
U0009,25-34,Female,Urban,WhatsApp,68.0,5,112.0,32.4,3,High (1-2h)
U0010,35-44,Female,Suburban,Facebook,90.5,2,156.0,10.9,2,High (1-2h)
U0011,13-17,Female,Urban,Twitter/X,17.5,3,114.0,32.1,8,Low (<30m)
U0012,55+,Male,Rural,Facebook,44.3,6,26.0,21.099999999999998,6,Moderate (30-60m)
U0013,45-54,Female,Rural,Snapchat,106.8,3,115.0,12.9,10,High (1-2h)
U0014,18-24,Female,Urban,Instagram,23.9,3,520.0,11.899999999999999,11,Low (<30m)
U0015,18-24,Male,Suburban,Instagram,87.8,7,154.0,8.6,12,High (1-2h)
U0016,18-24,Male,Rural,Instagram,63.4,3,286.0,5.2,7,High (1-2h)
U0017,18-24,Male,Urban,WhatsApp,37.7,1,68.0,12.2,1,Moderate (30-60m)
U0018,25-34,Female,Suburban,LinkedIn,35.4,0,221.0,8.7,1,Moderate (30-60m)
U0019,25-34,Other,Rural,Instagram,29.7,3,126.0,6.4,10,Low (<30m)
U0020,18-24,Male,Urban,LinkedIn,67.8,1,29.0,16.7,2,High (1-2h)
U0021,25-34,Female,Suburban,Instagram,73.1,2,132.0,19.6,10,High (1-2h)
U0022,18-24,Male,Urban,LinkedIn,50.1,1,27.0,41.099999999999994,3,Moderate (30-60m)
U0023,18-24,Other,Rural,YouTube,28.2,3,42.0,33.5,12,Low (<30m)
U0024,25-34,Female,Rural,Instagram,86.2,1,113.0,9.5,1,High (1-2h)
U0025,25-34,Female,Rural,YouTube,113.6,2,129.0,9.700000000000001,14,High (1-2h)
U0026,35-44,Male,Suburban,Instagram,96.4,4,22.0,4.8,5,High (1-2h)
U0027,18-24,Male,Rural,Instagram,204.8,3,319.0,21.8,3,Very High (2-5h)
U0028,25-34,Male,Rural,YouTube,57.3,4,179.0,17.2,1,Moderate (30-60m)
U0029,25-34,Male,Urban,Twitter/X,146.6,2,39.0,12.3,8,Very High (2-5h)
